読み終わった日,題名,著者,出版社
?,数について,デーデキント,岩波文庫
?,現代数学への招待,志賀浩二,ちくま学芸文庫
?,数学の考え方,矢野健太郎,講談社学術文庫
?,ボクは算数しか出来なかった,小平邦彦,岩波現代文庫
?,怠け数学者の記,小平邦彦,岩波現代文庫
?,行動の機構(上),D.O.ヘッブ,岩波文庫
?,行動の機構(下),D.O.ヘッブ,岩波文庫
?,つながる脳科学,理化学研究所 脳科学総合研究センター(編),講談社(ブルーバックス)
?,記憶の仕組み(上),ラリー・R・スクワイア、エリック・R・カンデル,講談社(ブルーバックス)
?,記憶の仕組み(下),ラリー・R・スクワイア、エリック・R・カンデル,講談社(ブルーバックス)
?,心の仕組み(上),スティーブン・ピンカー,ちくま学芸文庫
?,心の仕組み(下),スティーブン・ピンカー,ちくま学芸文庫
?,生物学のすすめ,ジョン・メイナー , ちくま学芸文庫 
?, 種の起源(上) , ダーウィン , 岩波文庫 
?, 種の起源(下) , ダーウィン , 岩波文庫 
?, 生命とは何か , シュレーディンガー , 岩波文庫 
?, 相対性理論 , アインシュタイン , 岩波文庫 
?, 精神と自然 , ヘルマン・ワイル , ちくま学芸文庫 
?, 計算機と脳 , J.フォン・ノイマン , ちくま学芸文庫 
?, シュヴァレー リー群論 , クロード・シュヴァレー , ちくま学芸文庫 
?, 集合論入門 , 赤攝也 , ちくま学芸文庫 
?, 宇宙創成はじめの3分間 , S.ワインバーグ , ちくま学芸文庫 
?, 素粒子と物理法則 , R.P.ファインマン、S.ワインバーグ , ちくま学芸文庫 
2021/03/02, やさしい微積分 , L・S・ポントリャーギン , ちくま学芸文庫 
2021/05/30, 新式算術講義 , 高木貞治 , ちくま学芸文庫 
2021/07/11, 一般相対性理論 , P.A.M.ディラック , ちくま学芸文庫 
2021/08/09, 数学基礎論 , 前原昭二、竹内外史 , ちくま学芸文庫 
2021/09/26, 位相のこころ , 森毅 , ちくま学芸文庫 
2021/10/17, 現代の古典解析, 森毅 , ちくま学芸文庫 
2021/11/11, 数学プレイ・マップ , 森毅 , ちくま学芸文庫 
2021/12/09?, 線型代数 , 森毅 , ちくま学芸文庫 
2022/01/12, 脳はこうして学ぶ , スタニスラス・ドゥアンヌ , 森北出版 
2022/01/17, 現代数学入門 , 遠山啓 , ちくま学芸文庫 
2022/02/05, 幾何学基礎論 , D.ヒルベルト , ちくま学芸文庫 
2022/02/19, 科学と仮説 , アンリ・ポアンカレ , ちくま学芸文庫 
2022/02/23, 通信の数学的理論 , クロード・E・シャノン、ワレン・ウィーバー , ちくま学芸文庫 
2022/03/06, 情報理論 , 甘利俊一 , ちくま学芸文庫 
2022/03/14, 量子コンピュータと量子通信 I 量子力学とコンピュータ科学, Michael A. Nielsen、 Isaac L Chuang , オーム社 
2022/03/23, 量子コンピュータと量子通信 II 量子コンピュータとアルゴリズム , Michael A. Nielsen、 Isaac L Chuang , オーム社 
2022/04/05, 量子コンピュータと量子通信 III 量子通信・情報処理と誤り訂正 , Michael A. Nielsen、 Isaac L Chuang , オーム社 
2022/05/09,論理哲学論考,ヴィトゲンシュタイン,岩波文庫
2022/05/11,ソクラテスの弁明・クリトン,プラトン,岩波文庫
2022/05/15,方法序説,デカルト,岩波文庫
2022/05/26,読書について,ショウペンハウエル,岩波文庫
2022/09/07,鏡の中の鏡 -迷宮-,ミヒャエル・エンデ,岩波現代文庫
2022/09/27,変身,フランツ・カフカ,角川文庫
2022/11/03,幸福論,ラッセル,岩波文庫
2022/11/07,純粋理性批判(上),イマヌエル・カント,岩波文庫
2022/11/16,ウィトゲンシュタイン、最初の一歩,中村昇,亜紀書房
2022/11/22,哲学入門,バートランド・ラッセル,ちくま学芸文庫
2022/11/27,異邦人,カミュ,新潮文庫
2022/12/11,ベクトル解析,森 毅,ちくま学芸文庫
2022/12/17,プロレゴメナ,カント,岩波文庫
2023/1/1,国家(上),プラトン,岩波文庫
2023/1/7,国家(下),プラトン,岩波文庫
2023/1/9,省察,デカルト,ちくま学芸文庫
2023/1/13,ガロア理論入門,エミール・アルティン,ちくま学芸文庫
2023/1/21,確率の哲学的試論,ラプラス,岩波文庫
2023/1/29,現代思想入門,千葉雅也,講談社現代新書
2023/2/10,無限と連続,遠山啓,岩波新書
2023/3/31,アルジャーノンに花束を,ダニエル・キイス,早川書房
2023/3/31,養老孟司の人生論,養老孟子,PHP文庫
2023/4/15,困難な成熟,内田樹,夜間飛行
2023/4/29,暇と退屈の倫理学,國分功一郎,新潮文庫
2023/5/6,こころ,夏目漱石,角川文庫
2023/5/20,意志と表象としての世界 I ,ショーペンハウアー,中公クラシックス
2023/6/7,意志と表象としての世界 II ,ショーペンハウアー,中公クラシックス
2023/6/28,意志と表象としての世界 III ,ショーペンハウアー,中公クラシックス
2023/7/2,抽象数学の手ざわり ,斎藤毅,岩波科学ライブラリー
2023/7/6,ゴルギアス ,プラトン,光文社古典新訳文庫
2023/7/7,地の糧,アンドレ・ジッド,新潮文庫
2023/7/13,生物から見た世界,ユクスキュル、クリサート,岩波文庫
2023/7/15,線形代数入門,斎藤正彦,東京大学出版会
2023/7/17,エレクトリック,千葉雅也,新潮社
2023/7/31,存在とは何か 「私」という神秘,小林康夫,PHP研究所
2023/7/31,【要点整理】ガロア理論の風景,上岡詩季,?
2023/8/11,読んでいない本について堂々と語る本,ピエール・バイヤール,ちくま学芸文庫
2023/8/28,精神分析学入門 I,フロイト,中公クラシックス
2023/9/6 ,線形代数の世界,斎藤毅,東京大学出版会
2023/9/18,精神分析学入門 II,フロイト,中公クラシックス
2023/9/23,生命とは何か,ポール・ナース,ダイヤモンド社
2023/11/3,位相群上の積分とその応用,アンドレ・ヴェイユ,ちくま学芸文庫
2023/11/15,幾何学の基礎をなす仮説について,ベルンハルト・リーマン,ちくま学芸文庫
2023/12/30,確率論の基礎概念,A.N.コルモゴロフ,ちくま学芸文庫
2024/1/13,構造と力,浅田彰,中公文庫
2024/1/15,集合と位相,斎藤毅,東京大学出版会
2024/1/29,微分と積分,遠山啓,ちくま学芸文庫
2024/2/1,メノン,プラトン,岩波文庫
2024/2/9,現代の初等幾何学,赤攝也,ちくま学芸文庫
2024/2/17,知性について,ショーペンハウアー,岩波文庫
2024/3/2,純粋理性批判(上),イマヌエル・カント,岩波文庫
2024/3/10,純粋理性批判(中),イマヌエル・カント,岩波文庫
